"student","id","color","defect","total.number","weight"
"grenobwk",1,"BL","N",56,49
"schiesjc",1,"Y","N",56,50
"bell2ml",1,"BR","N",56,48
"edejerrr",1,"R","N",61,42
"overbyjc",1,"BL","M",58,52
"golds2gd",1,"BL","N",59,48
"Wolfelc",1,"BR","N",57,51
"henriqta",1,"O","N",58,50
"suterbs",1,"R","N",57,51
"janigaek",1,"Y","N",57,51
"Tangbl",1,"BL","N",55,50
"COCKRACJ",1,"R","L",55,48
"sungelee",1,"O","L",56,49
"hooveret",1,"BR","C",53,50
"mageema",1,"Y","N",57,51
"light2ra",1,"G","N",57,49
"hellerem",1,"O","C",53,47
"burrisss",1,"G","N",54,49
"placeba",1,"G","L",55,48
"lagodkrf",1,"G","M",56,50
"lupatb",1,"BL","N",55,50
"robin3mn",1,"G","L",55,50
"jacks2gs",1,"BR","L",55,50
"fellenjd",1,"O","N",57,51
"billaj",1,"BL","N",56,48
"lottnb",1,"BL","N",56,50
"dempsekl",1,"O","N",56,50
"lukerzt",1,"G","N",54,49
"tarterkb",1,"BR","N",54,48
"podrassn",1,"R","N",57,51
"moran2tp",1,"BR","L",58,50.8
"tenoriaa",1,"R","N",56,50
"delzernm",1,"BL","N",55,48.08
"belislka",1,"BR","N",54,46.8
"Richa7jl",1,"G","N",58,49.6
"baxterka",1,"O","L",58,50.8
"Saclolcr",1,"R","N",55,50
"peter3kr",1,"O","L",58,50.8
"ellio2ce",1,"BR","M",58,48.99
"brotemar",1,"BL","L",57,50.8
"MCKEEAM",1,"BR","L",55,48.19
"cortinem",1,"O","N",55,49.6
"knabele",1,"BL","N",53,47.17
"lebedeay",1,"BL","L",53,48
"sumieljt",1,"BL","L",56,46
"sortorae",1,"BL","N",56,51
"henderln",1,"R","M",57,51
"patte2mg",1,"G","N",55,50
"romerojg",1,"G","M",53,49
"obidinnc ",1,"O","L",55,51.92
"emchea",1,"O","N",55,51
"morto2tm",1,"BL","N",58,51
"harrinnr",1,"BR","N",55,48
"shoem2tc",1,"O","N",55,51
"lovingdg",1,"G","N",53,48
"webbat",1,"BL","N",52,49
"ander2cf",1,"G","L",56,50
"quinonrm",1,"O","N",57,50
"Kellyfe",1,"Y","N",54,50
"campbens",1,"Y","N",55,49
"colli2pl",1,"Y","C",53,49
"garnerbp",1,"G","N",54,48
"heshmarr",1,"R","N",54,50.3
"golandtn",1,"R","N",55,50
